date, pm25, pm10, no2
2024/11/8, 6, 4, 2
2024/11/9, 13, 4, 2
2024/11/10, 13, 4, 2
2024/11/11, 12, 4, 2
2024/11/12, 6, 3, 2
2024/11/13, 8, 5, 4
2024/11/14, 10, 34, 1
2024/11/15, 31, 35, 4
2024/11/16, 30, 9, 2
2024/11/17, 9, 1, 1
2024/11/18, 3, 3, 4
2024/11/19, 8, 12, 2
2024/11/20, 12, 5, 1
2024/11/21, 9, 10, 
2024/11/22, 10, 3, 2
2024/11/23, 8, 3, 3
2024/11/24, 11, 3, 3
2024/11/25, 10, 6, 10
2024/11/26, 15, 7, 5
2024/11/27, 21, 2, 5
2024/11/28, 7, 3, 4
2024/11/29, 11, 3, 3
2024/11/30, 11, 5, 4
2024/12/1, 17, , 
2024/12/3, 11, 2, 1
2024/12/4, 8, 2, 
2024/12/5, 5, 11, 9
2024/12/6, 26, 12, 7
2024/12/7, 37, 14, 5
2024/12/8, 50, 6, 1
2024/12/9, 26, 7, 4
2024/12/10, 20, 4, 4
2024/12/11, 13, 7, 4
2024/12/12, 19, 13, 5
2024/12/13, 17, 6, 6
2024/12/14, 14, 3, 3
2024/12/15, 11, 3, 3
2024/12/16, 10, 3, 2
2024/12/17, 8, 3, 3
2024/12/18, 7, 5, 5
2024/12/19, 17, 7, 6
2024/12/20, 21, 4, 4
2024/12/21, 13, 6, 4
2024/12/22, 21, 3, 4
2024/12/23, 13, 2, 3
2024/12/24, 9, 3, 3
2024/12/25, 10, 5, 4
2024/12/26, 14, 5, 4
2024/12/27, 16, 4, 4
2024/12/28, 13, 4, 4
2024/12/29, 17, 4, 3
2024/12/30, 16, , 
2024/7/2, 18, 10, 
2024/7/3, 11, 23, 1
2024/7/4, 21, 15, 2
2024/7/5, 21, 12, 1
2024/7/6, 14, 11, 1
2024/7/7, 13, 6, 
2024/7/8, 11, 8, 1
2024/7/9, 10, 9, 
2024/7/10, 12, 11, 1
2024/7/11, 18, 8, 2
2024/7/12, 18, 8, 
2024/7/13, 17, 7, 
2024/7/14, 14, 7, 
2024/7/15, 19, 12, 2
2024/7/16, 26, 11, 1
2024/7/17, 27, 8, 1
2024/7/18, 21, 9, 2
2024/7/19, 16, 4, 
2024/7/20, 7, 8, 
2024/7/21, 23, 14, 
2024/7/22, 43, 13, 1
2024/7/23, 34, 14, 2
2024/7/24, 39, 6, 
2024/7/25, 16, 11, 1
2024/7/26, 24, 11, 1
2024/7/27, 25, 8, 1
2024/7/28, 19, 6, 
2024/7/29, 14, 4, 
2024/7/30, 8, 5, 
2024/7/31, 12, 8, 
2024/8/1, 17, 7, 
2024/8/2, 12, 5, 
2024/8/3, 11, 9, 1
2024/8/4, 28, 13, 1
2024/8/5, 37, 15, 1
2024/8/6, 39, 16, 1
2024/8/7, 37, 17, 1
2024/8/8, 36, 13, 1
2024/8/9, 31, 8, 1
2024/8/10, 21, 4, 
2024/8/11, 11, 5, 
2024/8/12, 7, 4, 
2024/8/13, 5, 9, 1
2024/8/14, 15, 14, 2
2024/8/15, 27, , 
2024/8/20, 16, , 
2024/8/24, 21, 7, 
2024/8/25, 8, 6, 
2024/8/26, 14, 8, 
2024/8/27, 21, , 
2024/8/31, 49, 10, 1
2024/9/1, 20, 6, 
2024/9/2, 18, 12, 3
2024/9/3, 21, 18, 2
2024/9/4, 24, 29, 3
2024/9/5, 48, 54, 6
2024/9/6, 70, 37, 3
2024/9/7, 61, 34, 3
2024/9/8, 63, 41, 1
2024/9/9, 70, 52, 2
2024/9/10, 87, 19, 2
2024/9/11, 31, 6, 2
2024/9/12, 16, 8, 3
2024/9/13, 14, 12, 2
2024/9/14, 20, 7, 1
2024/9/15, 15, 8, 2
2024/9/16, 14, 20, 3
2024/9/17, 27, 7, 2
2024/9/18, 12, 8, 2
2024/9/19, 24, 14, 3
2024/9/20, 22, 10, 3
2024/9/21, 18, 7, 1
2024/9/22, 17, 9, 2
2024/9/23, 16, 18, 3
2024/9/24, 38, 22, 4
2024/9/25, 59, 10, 5
2024/9/26, 34, 9, 4
2024/9/27, 12, 7, 1
2024/9/28, 14, 6, 2
2024/9/29, 13, 6, 1
2024/9/30, 9, 11, 5
2024/10/1, 12, 10, 4
2024/4/2, 11, 34, 1
2024/4/3, 23, 36, 1
2024/4/4, 23, 36, 2
2024/4/5, 25, 10, 3
2024/4/6, 16, 7, 3
2024/4/7, 22, 4, 2
2024/4/8, 15, 23, 3
2024/4/9, 22, 59, 4
2024/4/10, 48, 27, 3
2024/4/11, 28, 26, 3
2024/4/12, 17, 34, 3
2024/4/13, 32, 21, 2
2024/4/14, 25, 22, 2
2024/4/15, 21, 2, 1
2024/4/16, 4, 19, 2
2024/4/17, 16, 21, 3
2024/4/18, 21, 34, 3
2024/4/19, 30, 34, 3
2024/4/20, 32, 21, 1
2024/4/21, 20, 21, 1
2024/4/22, 27, 23, 2
2024/4/23, 28, 14, 
2024/4/24, 26, , 
2024/4/26, 29, 6, 3
2024/4/27, 20, 6, 3
2024/4/28, 14, 16, 2
2024/4/29, 25, 7, 4
2024/4/30, 17, 27, 3
2024/5/1, 24, 24, 1
2024/5/2, 58, , 
2024/5/4, 33, 14, 1
2024/5/5, 21, 10, 2
2024/5/6, 16, 21, 2
2024/5/7, 17, 21, 2
2024/5/8, 19, 10, 3
2024/5/9, 20, 5, 1
2024/5/10, 13, 9, 
2024/5/11, 13, 11, 1
2024/5/12, 15, , 
2024/5/14, 35, 29, 3
2024/5/15, 35, 26, 3
2024/5/16, 30, 29, 3
2024/5/17, 39, 35, 4
2024/5/18, 49, 23, 1
2024/5/19, 40, 20, 
2024/5/20, 30, 13, 1
2024/5/21, 12, 17, 1
2024/5/22, 16, 22, 2
2024/5/23, 21, 20, 2
2024/5/24, 26, 24, 3
2024/5/25, 42, 21, 1
2024/5/26, 47, 10, 1
2024/5/27, 17, 26, 2
2024/5/28, 54, 25, 2
2024/5/29, 52, 29, 2
2024/5/30, 63, 26, 2
2024/5/31, 52, 24, 3
2024/6/1, 47, 17, 1
2024/6/2, 43, 14, 1
2024/6/3, 36, 26, 2
2024/6/4, 47, 18, 1
2024/6/5, 21, 204, 2
2024/6/6, 70, 50, 1
2024/6/7, 35, 42, 2
2024/6/8, 33, 28, 1
2024/6/9, 27, 13, 1
2024/6/10, 19, 16, 2
2024/6/11, 15, 11, 1
2024/6/12, 12, 23, 1
2024/6/13, 18, 40, 2
2024/6/14, 31, 35, 2
2024/6/15, 31, 23, 1
2024/6/16, 27, 15, 1
2024/6/17, 27, 39, 2
2024/6/18, 39, 12, 3
2024/6/19, 26, 13, 1
2024/6/20, 13, 25, 1
2024/6/21, 21, 7, 
2024/6/22, 9, 16, 
2024/6/23, 14, 23, 1
2024/6/24, 23, 13, 1
2024/6/25, 21, 28, 2
2024/6/26, 33, 18, 1
2024/6/27, 26, 27, 1
2024/6/28, 32, 25, 3
2024/6/29, 45, 9, 
2024/6/30, 19, 9, 
2024/7/1, 15, 13, 2
2024/1/2, 12, 2, 3
2024/1/3, 6, 3, 3
2024/1/4, 8, 4, 4
2024/1/5, 13, 3, 4
2024/1/6, 13, 4, 3
2024/1/7, 19, 3, 2
2024/1/8, 11, 2, 4
2024/1/9, 5, 1, 1
2024/1/10, 2, 2, 1
2024/1/11, 3, 3, 6
2024/1/12, 6, 2, 3
2024/1/13, 5, 3, 4
2024/1/14, 9, 2, 1
2024/1/15, 6, 2, 4
2024/1/16, 6, 4, 6
2024/1/17, 12, 6, 6
2024/1/18, 20, 5, 4
2024/1/19, 14, 5, 5
2024/1/20, 19, 4, 3
2024/1/21, 18, 7, 6
2024/1/22, 26, 2, 3
2024/1/23, 8, 2, 3
2024/1/24, 5, 5, 8
2024/1/25, 14, 3, 8
2024/1/26, 11, 5, 6
2024/1/27, 20, 6, 7
2024/1/28, 20, 4, 5
